ID,Country,Continent,Population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
36,Australia,Oceania,26439.110000,1.828390e+12,1.304460e+12,6.915490e+04,4.933839e+04
598,Papua New Guinea,Oceania,10329.930000,3.233400e+10,1.969412e+10,3.130130e+03,1.906510e+03
554,New Zealand,Oceania,5228.100000,2.767200e+11,1.875170e+11,5.292936e+04,3.586716e+04
242,Fiji,Oceania,936.380000,5.734000e+09,4.671118e+09,6.123620e+03,4.988486e+03
90,Solomon Islands,Oceania,740.420000,1.783000e+09,1.133967e+09,2.408080e+03,1.531519e+03
548,Vanuatu,Oceania,334.510000,1.071000e+09,8.375198e+08,3.201740e+03,2.503721e+03
258,French Polynesia,Oceania,308.870000,0.000000e+00,5.417934e+09,1.754103e+04,1.754115e+04
540,New Caledonia,Oceania,292.990000,0.000000e+00,9.445715e+09,3.223892e+04,3.223903e+04
882,Samoa,Oceania,225.680000,8.680000e+08,8.222333e+08,3.846140e+03,3.643359e+03
296,Kiribati,Oceania,133.520000,2.330000e+08,1.736551e+08,1.745120e+03,1.300593e+03
583,Micronesia,Oceania,115.220000,4.520000e+08,3.298956e+08,3.922790e+03,2.863180e+03
776,Tonga,Oceania,107.770000,5.740000e+08,4.014603e+08,5.326010e+03,3.725158e+03
584,Marshall Islands,Oceania,42.000000,2.840000e+08,1.830000e+08,6.762550e+03,4.357143e+03
585,Palau,Oceania,18.060000,2.960000e+08,3.102480e+08,1.639163e+04,1.717874e+04
184,Cook Islands,Oceania,17.040000,0.000000e+00,2.901942e+08,1.702618e+04,1.703018e+04
520,Nauru,Oceania,12.780000,1.380000e+08,1.034698e+08,1.079812e+04,8.096230e+03
798,Tuvalu,Oceania,11.400000,7.100000e+07,3.669719e+07,6.230260e+03,3.219051e+03
