ID,Country,Continent,Population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
392,Japan,Asia,123294.510000,5.291350e+12,4.936210e+12,4.291635e+04,4.003594e+04
276,Germany,Europe,83294.630000,4.564780e+12,3.477800e+12,5.480279e+04,4.175295e+04
36,Australia,Oceania,26439.110000,1.828390e+12,1.304460e+12,6.915490e+04,4.933839e+04
528,Netherlands,Europe,17618.300000,1.072790e+12,7.772280e+11,6.089061e+04,4.411479e+04
56,Belgium,Europe,11686.140000,6.397160e+11,4.679550e+11,5.474143e+04,4.004361e+04
752,Sweden,Europe,10612.090000,6.698720e+11,5.144760e+11,6.312350e+04,4.848016e+04
40,Austria,Europe,8958.960000,5.188080e+11,3.908000e+11,5.790940e+04,4.362113e+04
344,Hong Kong,Asia,7491.610000,3.913380e+11,3.209120e+11,5.223684e+04,4.283622e+04
702,Singapore,Asia,6014.720000,4.509990e+11,2.969460e+11,7.498251e+04,4.936993e+04
246,Finland,Europe,5545.480000,3.145020e+11,2.385030e+11,5.671327e+04,4.300852e+04
304,Greenland,North America,56.640000,0.000000e+00,2.282928e+09,4.030380e+04,4.030593e+04
674,San Marino,Europe,33.640000,1.777000e+09,1.590761e+09,5.282088e+04,4.728779e+04
